FFMC,DMC,DC
86.2,26.2,94.3
90.6,35.4,669.1
90.6,43.7,686.9
91.7,33.3,77.5
89.3,51.3,102.2
92.3,85.3,488
92.3,88.9,495.6
91.5,145.4,608.2
91,129.5,692.6
92.5,88,698.6
92.5,88,698.6
92.8,73.2,713
63.5,70.8,665.3
90.9,126.5,686.5
92.9,133.3,699.6
93.3,141.2,713.9
91.7,35.8,80.8
84.9,32.8,664.2
89.2,27.9,70.8
86.3,27.4,97.1
91,129.5,692.6
91.8,78.5,724.3
94.3,96.3,200
90.2,110.9,537.4
93.5,139.4,594.2
91.4,142.4,601.4
92.4,117.9,668
90.9,126.5,686.5
93.4,145.4,721.4
93.5,149.3,728.6
94.3,85.1,692.3
88.6,91.8,709.9
88.6,69.7,706.8
91.7,75.6,718.3
91.8,78.5,724.3
90.3,80.7,730.2
90.6,35.4,669.1
90,41.5,682.6
90.6,43.7,686.9
88.1,25.7,67.6
79.5,60.6,366.7
90.2,96.9,624.2
94.8,108.3,647.1
92.5,88,698.6
90.1,82.9,735.7
94.3,85.1,692.3
90.9,126.5,686.5
94.2,62.3,442.9
87.2,23.9,64.7
87.6,52.2,103.8
92.9,137,706.4
90.2,99.6,631.2
92.1,111.2,654.1
92.1,111.2,654.1
91.7,114.3,661.3
92.9,137,706.4
90.3,80.7,730.2
92.6,46.5,691.8
84,9.3,34
86.6,13.2,43
89.3,51.3,102.2
89.3,51.3,102.2
93,75.3,466.6
90.2,99.6,631.2
91.1,103.2,638.8
91.7,114.3,661.3
92.4,117.9,668
92.4,117.9,668
92.4,117.9,668
91.7,33.3,77.5
91.2,48.3,97.8
94.3,85.1,692.3
91.7,33.3,77.5
88.8,147.3,614.5
93.3,141.2,713.9
84.2,6.8,26.6
86.6,13.2,43
87.6,52.2,103.8
90.1,108,529.8
91,121.2,561.6
91.4,142.4,601.4
90.2,99.6,631.2
94.8,108.3,647.1
92.1,111.2,654.1
91.7,114.3,661.3
92.9,137,706.4
92.9,137,706.4
92.9,137,706.4
93.5,149.3,728.6
91.7,35.8,80.8
90.2,96.9,624.2
91.7,35.8,80.8
92.3,85.3,488
91.4,142.4,601.4
91.1,103.2,638.8
89.7,90,704.4
83.9,8,30.2
69,2.4,15.5
91.4,142.4,601.4
91.4,142.4,601.4
91.4,142.4,601.4
88.8,147.3,614.5
94.8,108.3,647.1
92.5,121.1,674.4
82.1,3.7,9.3
85.9,19.5,57.3
91.4,30.7,74.3
90.2,99.6,631.2
92.5,88,698.6
88.6,91.8,709.9
85.9,19.5,57.3
91.7,33.3,77.5
89.7,90,704.4
91.8,78.5,724.3
88.1,25.7,67.6
88.1,25.7,67.6
91.7,35.8,80.8
91.7,35.8,80.8
90.1,39.7,86.6
93,75.3,466.6
91.5,145.4,608.2
91.5,145.4,608.2
92.4,124.1,680.7
84.4,73.4,671.9
94.3,85.1,692.3
92.6,46.5,691.8
87.6,52.2,103.8
93.5,149.3,728.6
91.4,37.9,673.8
92.6,46.5,691.8
68.2,21.5,87.2
87.2,23.9,64.7
89.3,51.3,102.2
93.7,80.9,685.2
88.1,25.7,67.6
93.5,139.4,594.2
92.4,124.1,680.7
90.9,126.5,686.5
85.8,48.3,313.4
91,129.5,692.6
90.9,126.5,686.5
95.5,99.9,513.3
90.1,108,529.8
90,51.3,296.3
95.5,99.9,513.3
95.2,131.7,578.8
90.1,39.7,86.6
84.4,73.4,671.9
94.8,108.3,647.1
93.7,80.9,685.2
92.5,56.4,433.3
90.1,68.6,355.2
90.1,51.2,424.1
94.3,85.1,692.3
93.4,145.4,721.4
94.8,108.3,647.1
93.4,145.4,721.4
92.1,111.2,654.1
92.1,111.2,654.1
92.4,117.9,668
90.1,39.7,86.6
95.2,131.7,578.8
90.6,50.1,100.4
92.5,121.1,674.4
89.7,90,704.4
84.9,18.2,55
92.1,111.2,654.1
96,127.1,570.5
91.2,48.3,97.8
95.2,131.7,578.8
92.9,133.3,699.6
85.6,90.4,609.6
91.4,142.4,601.4
90.9,126.5,686.5
90.2,96.9,624.2
90.2,96.9,624.2
81.5,9.1,55.2
90.2,99.6,631.2
90.1,82.9,735.7
88.8,147.3,614.5
92.4,124.1,680.7
84.9,32.8,664.2
86.8,15.6,48.3
91.7,48.5,696.1
93.9,135.7,586.7
91,129.5,692.6
89.3,51.3,102.2
90.9,126.5,686.5
90.8,41.9,89.4
90.7,44,92.4
91.2,48.3,97.8
95.2,131.7,578.8
94.8,108.3,647.1
92.9,133.3,699.6
94.8,108.3,647.1
93.9,135.7,586.7
81.5,9.1,55.2
92.9,137,706.4
91,129.5,692.6
63.5,70.8,665.3
91,129.5,692.6
90.1,37.6,83.7
83.9,8.7,32.1
91.4,37.9,673.8
90.6,50.1,100.4
92.9,137,706.4
93.5,139.4,594.2
91,129.5,692.6
92.4,117.9,668
93.7,80.9,685.2
90.6,43.7,686.9
93.5,139.4,594.2
94.3,85.1,692.3
87.6,52.2,103.8
91.7,35.8,80.8
91.7,35.8,80.8
92.4,124.1,680.7
